Departing,arriving,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),Seats,Year
PERTH,SYDNEY,May-24,124902,799,83.5,3284,149552,2024
PERTH,NEWMAN,May-24,33906,355,59.7,1019,56800,2024
PROSERPINE,SYDNEY,May-24,0,0,0,1517,0,2024
PORT MACQUARIE,SYDNEY,May-24,15000,340,72.1,321,20801,2024
BALLINA,SYDNEY,May-24,37837,314,83.8,612,45128,2024
SYDNEY,TAMWORTH,45413,0,0,0,320,0,2024
SYDNEY,TOWNSVILLE,45413,0,0,0,1690,0,2024
SYDNEY,WAGGA WAGGA,45413,14584,417,63.4,367,23002,2024
ALBURY,SYDNEY,Jun-24,13533,368,68.8,452,19680,2024
ADELAIDE,ALICE SPRINGS,Jun-24,9304,146,73.2,1316,12718,2024
ADELAIDE,BRISBANE,Jun-24,66371,675,73.1,1622,90763,2024
ADELAIDE,CANBERRA,Jun-24,14268,188,69.2,972,20614,2024
ADELAIDE,CAIRNS,Jun-24,0,0,0,2131,0,2024
ADELAIDE,DARWIN,Jun-24,0,0,0,2619,0,2024
ADELAIDE,HOBART,Jun-24,0,0,0,1172,0,2024
ADELAIDE,MELBOURNE,Jun-24,175839,1383,76.1,643,230956,2024
ADELAIDE,GOLD COAST,Jun-24,19664,114,85.3,1607,23044,2024
ADELAIDE,PERTH,Jun-24,48897,366,74.5,2120,65607,2024
ADELAIDE,PORT LINCOLN,Jun-24,13425,530,61,246,22012,2024
ADELAIDE,SYDNEY,Jun-24,135005,1158,68.8,1167,196351,2024
ARMIDALE,SYDNEY,Jun-24,0,0,0,382,0,2024
ALICE SPRINGS,DARWIN,Jun-24,0,0,0,1305,0,2024
ALICE SPRINGS,MELBOURNE,Jun-24,0,0,0,1860,0,2024
ALICE SPRINGS,SYDNEY,Jun-24,0,0,0,2022,0,2024
AYERS ROCK,SYDNEY,Jun-24,0,0,0,2181,0,2024
BUNDABERG,BRISBANE,Jun-24,12110,292,66.6,287,18178,2024
BROOME,PERTH,Jun-24,33579,260,81.9,1677,40998,2024
BRISBANE,CANBERRA,Jun-24,51815,553,75,956,69093,2024
BRISBANE,CAIRNS,Jun-24,121444,929,89.1,1391,136315,2024
BRISBANE,DARWIN,Jun-24,35011,271,90.1,2852,38865,2024
BRISBANE,EMERALD,Jun-24,15230,331,64.3,653,23676,2024
BRISBANE,GLADSTONE,Jun-24,18617,323,67.9,434,27422,2024
BRISBANE,HOBART,Jun-24,23152,170,84.1,1791,27518,2024
BRISBANE,HAMILTON ISLAND,Jun-24,12547,118,75.5,888,16620,2024
BRISBANE,MOUNT ISA,Jun-24,12363,159,66.1,1573,18699,2024
BRISBANE,LAUNCESTON,Jun-24,11701,77,87.9,1664,13316,2024
BRISBANE,MELBOURNE,Jun-24,285859,2064,82.7,1381,345686,2024
BRISBANE,MACKAY,Jun-24,63424,580,81.3,797,77994,2024
BRISBANE,MORANBAH,Jun-24,8961,216,55.3,780,16214,2024
BRISBANE,NEWCASTLE,Jun-24,40396,418,81.7,614,49467,2024
BRISBANE,PERTH,Jun-24,79867,575,79.8,3615,100129,2024
BRISBANE,PROSERPINE,Jun-24,21312,150,88.6,895,24046,2024
BRISBANE,ROCKHAMPTON,Jun-24,48696,668,78.8,518,61810,2024
BRISBANE,SYDNEY,Jun-24,355148,2633,80.6,753,440384,2024
BRISBANE,TOWNSVILLE,Jun-24,83305,720,88.1,1112,94582,2024
CANBERRA,MELBOURNE,Jun-24,79566,778,70.6,470,112699,2024
CANBERRA,GOLD COAST,Jun-24,16029,106,84.4,892,18984,2024
CANBERRA,SYDNEY,Jun-24,52906,1216,61.2,236,86494,2024
COFFS HARBOUR,SYDNEY,Jun-24,17181,399,77,443,22309,2024
